Country,Year,Status,Life expectancy,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles , BMI ,under-five deaths ,Polio,Total expenditure,Diphtheria , HIV/AIDS,GDP,Population, thinness  1-19 years, thinness 5-9 years,Income composition of resources,Schooling
Japan,2008,Developed,82.7,66,3,7.11,7313.175418,,11015,25.9,4,98,8.6,98,0.1,39339.29757,12863,1.8,1.5,0.88,15
Japan,2007,Developed,82.6,67,3,7.29,6599.995239,,0,25.4,4,97,8.25,98,0.1,35275.22843,1281,1.8,1.5,0.877,15
Japan,2006,Developed,82.4,68,3,7.49,6502.136974,,520,24.9,4,95,8.19,98,0.1,35433.98896,127854,1.7,1.5,0.873,14.9
Japan,2005,Developed,82,69,3,7.99,6799.664423,,0,24.4,4,95,8.18,98,0.1,37217.64873,127773,1.7,1.5,0.87,14.9
Japan,2004,Developed,82.1,68,3,7.7,6746.281299,,8752,23.8,4,97,8.3,99,0.1,37688.72234,127761,1.7,1.4,0.866,14.8
Japan,2003,Developed,81.9,7,3,7.83,578.7254273,,8286,23.4,5,97,8,97,0.1,3488.3992,127718,1.7,1.4,0.863,14.8
Japan,2002,Developed,81.8,7,3,7.87,5250.249188,,33812,22.9,5,89,7.85,96,0.1,32289.3554,127445,1.7,1.4,0.86,14.7
Japan,2001,Developed,81.5,72,4,8.03,5486.51208,,22552,22.5,5,81,7.75,95,0.1,33846.46564,127149,1.7,1.4,0.856,14.6
Japan,2000,Developed,81.1,74,4,7.97,5926.296654,,22497,22.2,5,98,7.53,85,0.1,38532.488,126843,1.6,1.4,0.852,14.5
Germany,2015,Developed,81,68,2,,0,88,2464,62.3,3,94,,95,0.1,41176.88158,81686611,1.1,1.1,0.924,17.1
Germany,2014,Developed,89,69,2,11.03,941.7562909,88,443,61.9,3,94,11.3,95,0.1,4792.65288,89825,1.1,1.1,0.92,17
Germany,2013,Developed,86,71,2,10.94,895.8779503,88,1771,61.4,3,94,11.16,95,0.1,4653.91143,864565,1.1,1.1,0.919,16.9
Germany,2012,Developed,86,71,2,11.18,839.91332,88,166,6.9,3,94,1.99,95,0.1,4465.24891,8425823,1.1,1.1,0.916,16.9
Germany,2011,Developed,85,74,2,11.2,869.790735,88,1607,6.4,3,94,1.93,95,0.1,4681.32796,8274983,1.1,1.1,0.912,16.8
Germany,2010,Developed,81,76,2,11.2,7584.078579,88,780,59.9,3,94,11.25,95,0.1,41785.55691,8177693,1.1,1.1,0.907,16.7
Germany,2009,Developed,80,79,2,11.22,7641.270645,88,574,59.5,3,95,11.4,96,0.1,41732.7725,819237,1.1,1.1,0.906,16.7
Germany,2008,Developed,79.9,8,2,11.36,8285.264655,87,917,59,3,95,1.39,96,0.1,45699.19832,821197,1.1,1.1,0.903,16.6
Germany,2007,Developed,79.8,82,3,11.5,7777.556353,86,567,58.5,3,95,1.18,96,0.1,41814.8191,82266372,1.1,1.1,0.898,16.6
Germany,2006,Developed,79.6,84,3,11.76,6407.535954,87,2307,58,3,94,1.34,96,0.1,36447.87232,82376451,1.1,1.1,0.892,16.5
Germany,2005,Developed,79.2,85,3,11.67,6012.92584,9,778,57.6,3,95,1.52,96,0.1,34696.6292,82469422,1.1,1.1,0.884,16.4
Germany,2004,Developed,79.1,86,3,11.83,5842.374765,88,121,57.1,3,96,1.37,96,0.1,34165.9343,8251626,1.1,1.1,0.877,16.4
Germany,2003,Developed,78.5,9,3,11.92,582.6157028,9,779,56.6,4,96,1.62,97,0.1,3359.95215,82534176,1.1,1.1,0.872,16.3
Germany,2002,Developed,78.4,91,3,12.25,437.1059663,87,4657,56.1,4,97,1.4,93,0.1,2525.16445,82488495,1.2,1.1,0.867,16.3
Germany,2001,Developed,78.3,92,3,12.46,4057.637383,86,6024,55.6,4,96,1.15,93,0.1,23687.31689,82349925,1.2,1.1,0.86,16.2
Germany,2000,Developed,78,95,3,12.91,4238.540035,84,0,55.1,4,94,1.1,9,0.1,23718.7467,8221158,1.2,1.2,0.855,16.2
France,2015,Developing,82.4,78,2,,0,86,157,62.5,3,98,,98,0.1,36526.7711,6662468,0.7,0.6,0.894,16.3
France,2014,Developing,82.2,79,3,11.5,6739.677606,83,267,62,3,98,11.54,98,0.1,42955.24287,66331957,0.6,0.6,0.89,16.2
France,2013,Developing,82,81,3,11.1,6646.953935,74,272,61.6,3,99,11.56,99,0.1,42554.1225,6599857,0.6,0.6,0.887,16.2
France,2012,Developing,81.5,83,3,11.5,751.3793553,78,0,61.1,3,99,11.44,99,0.1,4838.2444,6565979,0.6,0.6,0.885,16.1
France,2011,Developing,81.7,83,3,11.8,683.9190568,74,14949,6.6,3,99,11.33,99,0.1,4381.288,65342776,0.6,0.6,0.882,16.1
France,2010,Developing,81.3,86,3,11.7,72.8001211,65,5048,6.1,3,99,11.2,99,0.1,473.34279,6527512,0.6,0.6,0.879,16
France,2009,Developing,81.1,88,3,11.8,6415.35735,51,1541,59.6,3,98,11.28,98,0.1,41631.13141,647744,0.6,0.6,0.879,16
France,2008,Developing,89,88,3,11.9,7002.785925,47,604,59.1,3,98,1.57,98,0.1,45413.6571,6437499,0.6,0.6,0.877,16.1
France,2007,Developing,89,89,3,12.2,64.73714894,42,39,58.6,3,99,1.45,98,0.1,416.58397,6416229,0.6,0.6,0.873,16.1
France,2006,Developing,86,92,3,12.4,5689.991931,39,40,58,4,99,1.53,99,0.1,36544.5853,63621376,0.6,0.6,0.87,16.1
France,2005,Developing,81,93,3,12.2,5451.701225,35,36,57.5,4,98,1.6,98,0.1,34879.72633,63179356,0.6,0.6,0.86,15.5
France,2004,Developing,82,94,3,13.18,5291.234786,35,4448,57,4,99,1.53,98,0.1,33874.74255,6274897,0.6,0.6,0.857,15.5
France,2003,Developing,79.3,99,3,13.49,4572.441963,28,0,56.4,4,96,1.43,97,0.1,29691.18158,62244884,0.6,0.6,0.852,15.4
France,2002,Developing,79.2,11,3,13.78,3779.655273,29,5185,55.8,4,97,1.22,97,0.1,24275.2426,6185267,0.7,0.6,0.851,15.5
France,2001,Developing,79,13,3,13.89,3451.185079,28,0,55.2,4,98,9.89,97,0.1,22527.31775,61357431,0.7,0.6,0.849,15.6
France,2000,Developing,78.8,13,3,13.63,3410.284431,26,10000,54.6,4,98,9.77,97,0.1,22465.64184,6912498,0.7,0.6,0.844,15.7
United Kingdom of Great Britain and Northern Ireland,2015,Developed,81.2,69,3,10.66,0,,91,66.6,4,96,,96,0.1,,,0.8,0.6,,
United Kingdom of Great Britain and Northern Ireland,2014,Developed,81,71,3,10.37,0,,133,66,4,95,9.12,95,0.1,,,0.8,0.5,,
United Kingdom of Great Britain and Northern Ireland,2013,Developed,87,72,3,10.32,0,,1919,65.4,4,95,9.34,95,0.1,,,0.8,0.5,,
United Kingdom of Great Britain and Northern Ireland,2012,Developed,86,72,3,10.42,0,,2092,64.8,4,95,9.41,95,0.1,,,0.8,0.5,,
United Kingdom of Great Britain and Northern Ireland,2011,Developed,86,74,3,10.68,0,,1112,64.2,4,95,9.34,95,0.1,,,0.8,0.5,,
United Kingdom of Great Britain and Northern Ireland,2010,Developed,82,77,3,10.88,0,,443,63.6,4,94,9.51,94,0.1,,,0.8,0.5,,
United Kingdom of Great Britain and Northern Ireland,2009,Developed,81,78,4,10.79,0,,1212,63.1,4,93,9.81,93,0.1,,,0.8,0.5,,
United Kingdom of Great Britain and Northern Ireland,2008,Developed,79.6,8,4,11.47,0,,1445,62.5,4,92,8.85,92,0.1,,,0.8,0.5,,
United Kingdom of Great Britain and Northern Ireland,2007,Developed,79.5,8,4,11.84,0,,1022,61.9,4,92,8.42,92,0.1,,,0.7,0.5,,
United Kingdom of Great Britain and Northern Ireland,2006,Developed,79.3,82,4,11.61,0,,764,61.3,4,92,8.36,92,0.1,,,0.7,0.5,,
United Kingdom of Great Britain and Northern Ireland,2005,Developed,79,82,4,12.05,0,,79,6.7,4,91,8.24,91,0.1,,,0.7,0.5,,
United Kingdom of Great Britain and Northern Ireland,2004,Developed,78.8,83,4,12.22,0,,189,6.1,4,92,7.98,92,0.1,,,0.7,0.5,,
United Kingdom of Great Britain and Northern Ireland,2003,Developed,78.3,86,4,11.85,0,,460,59.5,4,91,7.81,91,0.1,,,0.7,0.5,,
United Kingdom of Great Britain and Northern Ireland,2002,Developed,78.2,87,4,11.44,0,,314,58.8,4,91,7.57,91,0.1,,,0.7,0.5,,
United Kingdom of Great Britain and Northern Ireland,2001,Developed,78,88,4,10.91,0,,73,58.2,4,91,7.31,91,0.1,,,0.7,0.5,,
United Kingdom of Great Britain and Northern Ireland,2000,Developed,77.8,89,4,10.59,0,,104,57.5,5,91,6.94,91,0.1,,,0.7,0.5,,
India,2015,Developing,68.3,181,910,,0,87,90387,18.7,1100,86,,87,0.2,1613.18878,1395398,26.7,27.3,0.615,11.6
India,2014,Developing,68,184,957,3.07,86.52153895,79,79563,18.1,1200,84,4.69,85,0.2,1573.11889,1293859294,26.8,27.4,0.607,11.6
India,2013,Developing,67.6,187,1000,3.11,67.67230438,7,13822,17.5,1300,82,4.53,83,0.2,1452.195373,127856227,26.8,27.5,0.599,11.5
India,2012,Developing,67.3,19,1100,3.1,64.96964491,73,18668,17,1400,79,4.39,82,0.2,1446.98541,126365852,26.9,27.6,0.59,11.3
India,2011,Developing,66.8,193,1100,3,64.6059005,44,33634,16.4,1500,79,4.33,82,0.2,1461.671957,124723629,26.9,27.7,0.58,10.8
India,2010,Developing,66.4,196,1200,2.77,57.73359864,38,31458,15.9,1600,76,4.28,79,0.2,1345.77153,12398691,27,27.8,0.569,10.4
India,2009,Developing,66,2,1300,2.5,0.844186331,37,56188,15.4,1700,73,4.38,74,0.2,19.317765,121427132,27,27.8,0.563,10.5
India,2008,Developing,65.5,23,1300,1.93,43.03043312,29,44258,14.9,1800,69,4.34,7,0.3,991.484634,119714696,27,27.9,0.556,10.2
India,2007,Developing,65.2,26,1400,1.59,5.234770324,6,41144,14.4,1900,67,4.23,64,0.3,118.166373,1179681239,27.1,28,0.546,9.9
India,2006,Developing,64.8,28,1500,1.37,34.85942671,6,64185,13.9,2000,66,4.25,65,0.3,792.259698,1161977719,27.1,28,0.536,9.7
India,2005,Developing,64.4,211,1500,1.27,3.5096369,8,36711,13.5,2000,65,4.28,65,0.3,77.819,1144118674,27.2,28.1,0.526,9.4
India,2004,Developing,64,214,1600,1.2,27.33800857,6,55443,13,2100,58,4.22,63,0.3,621.3183767,1126135777,27.2,28.2,0.518,9.2
India,2003,Developing,63.7,216,1700,1.19,19.4808682,,47147,12.6,2200,57,4.3,61,0.3,541.1352279,11827848,27.3,28.3,0.505,8.6
India,2002,Developing,63.3,219,1700,1.1,17.81205644,,40044,12.2,2300,58,4.4,59,0.3,466.2842,18987112,27.4,28.4,0.499,8.4
India,2001,Developing,62.9,222,1800,1,19.00340606,,51780,11.8,2400,58,4.5,59,0.3,447.138966,171477855,27.5,28.5,0.494,8.3
India,2000,Developing,62.5,224,1800,0.93,19.26615743,,38835,11.4,2500,57,4.26,58,0.3,438.864634,1535912,27.7,28.6,0.489,8.3
Italy,2015,Developed,82.7,56,1,,0,93,159,63.6,2,93,,93,0.1,349.14755,673582,0.6,0.6,0.881,16.3
Italy,2014,Developed,82.5,57,2,7.56,4831.644796,95,0,63.1,2,95,9.25,95,0.1,35396.66517,678914,0.6,0.6,0.877,16.3
Italy,2013,Developed,82.3,58,2,7.35,483.1916844,96,0,62.6,2,96,9.22,96,0.1,3537.27441,6233948,0.5,0.6,0.876,16.5
Italy,2012,Developed,82,6,2,7.49,4793.904924,96,376,62.1,2,96,9.28,97,0.1,34814.12436,59539717,0.5,0.6,0.877,16.6
Italy,2011,Developed,82,6,2,6.98,5439.691769,96,5189,61.5,2,96,9.27,96,0.1,38334.68477,59379449,0.5,0.5,0.872,16.4
Italy,2010,Developed,81.8,6,2,6.95,5219.668802,96,372,61,2,96,9.42,96,0.1,35849.37364,59277417,0.5,0.5,0.869,16.4
Italy,2009,Developed,81.6,61,2,7.25,5243.316638,96,351,6.5,2,96,9.41,96,0.1,36976.84512,5995365,0.5,0.5,0.868,16.3
Italy,2008,Developed,81.5,61,2,7.96,66.37840495,96,1617,59.9,2,96,8.89,96,0.1,464.18465,58826731,0.5,0.5,0.866,16.3
Italy,2007,Developed,81.3,63,2,8.37,5228.821581,97,321,59.4,2,97,8.48,97,0.1,37698.78573,5843831,0.5,0.5,0.862,16.1
Italy,2006,Developed,81.2,65,2,8.44,473.1915451,96,439,58.8,2,97,8.82,96,0.1,3341.7482,58143979,0.5,0.5,0.856,16
Italy,2005,Developed,88,66,2,8.65,4506.255963,96,135,58.2,2,97,8.71,95,0.1,31959.26215,57969484,0.5,0.5,0.851,15.8
Italy,2004,Developed,89,66,2,8.98,4270.914882,96,599,57.6,3,97,8.49,94,0.1,31174.56118,57685327,0.5,0.5,0.846,15.6
Italy,2003,Developed,79.9,72,2,9.3,3519.258515,95,10982,57,3,97,8.17,96,0.1,27387.2258,5731323,0.5,0.5,0.841,15.4
Italy,2002,Developed,80,72,2,9.25,2883.334911,95,9385,56.4,3,96,8.23,93,0.1,22196.5736,57597,0.5,0.5,0.836,15.2
Italy,2001,Developed,79.8,75,2,9.69,3.1222302,95,0,55.7,3,96,8.11,93,0.1,24.819,569741,0.5,0.5,0.828,14.9
Italy,2000,Developed,79.4,77,3,9.78,31.50582204,94,1457,55,3,97,7.91,87,0.1,251.2426,5694218,0.5,0.5,0.823,14.8
Canada,2015,Developing,82.2,64,2,,0,55,195,67,2,91,,91,0.1,43315.744,3584861,0.6,0.5,0.919,16.3
Canada,2014,Developing,82,65,2,8.1,102.1902168,55,418,66.4,2,91,1.45,91,0.1,544.43376,35544564,0.5,0.5,0.912,15.9
Canada,2013,Developing,81.8,67,2,8.2,9733.228019,55,83,65.8,2,91,1.67,91,0.1,52413.72116,35155451,0.5,0.5,0.909,15.9
Canada,2012,Developing,81.6,68,2,8.3,9748.636237,7,10,65.3,2,99,1.78,95,0.1,52496.69487,3475545,0.5,0.5,0.907,15.9
Canada,2011,Developing,81.5,68,2,8.2,971.9280384,7,803,64.7,2,87,1.82,87,0.1,5282.2176,3434278,0.5,0.5,0.903,15.9
Canada,2010,Developing,81.2,7,2,8.4,8649.674911,56,99,64.1,2,88,11.2,89,0.1,47447.4762,345274,0.5,0.4,0.898,15.9
Canada,2009,Developing,81,72,2,8.4,864.94993,42,14,63.6,2,89,11.17,91,0.1,4773.45436,33628571,0.5,0.4,0.898,15.9
Canada,2008,Developing,87,74,2,8.3,8433.936814,28,62,63,2,89,1.3,92,0.1,46596.33599,33245773,0.5,0.4,0.897,15.8
Canada,2007,Developing,85,74,2,8.3,7946.743581,14,101,62.5,2,9,9.83,94,0.1,44544.5268,32887928,0.5,0.4,0.894,15.8
Canada,2006,Developing,85,75,2,8.2,771.1817686,14,13,61.9,2,95,9.75,95,0.1,4386.69948,325755,0.5,0.4,0.891,15.8
Canada,2005,Developing,81,76,2,8,6333.177967,14,6,61.3,2,93,9.57,93,0.1,36189.58838,32312,0.5,0.4,0.886,15.8
Canada,2004,Developing,80,77,2,7.8,5513.329924,14,7,6.6,2,91,9.56,91,0.1,31979.87195,31995,0.5,0.4,0.881,15.8
Canada,2003,Developing,79.7,78,2,7.7,4687.845565,14,15,6,2,88,9.54,91,0.1,28172.14883,31676,0.5,0.4,0.877,15.8
Canada,2002,Developing,79.5,79,2,7.7,3895.856308,,6,59.3,2,88,9.37,88,0.1,24167.8431,31362,0.5,0.4,0.872,15.8
Canada,2001,Developing,79.4,8,2,7.6,3665.089703,,34,58.5,2,88,9.1,89,0.1,23691.59472,31819,0.5,0.4,0.867,15.8
Canada,2000,Developing,79.1,82,2,7.6,3787.49456,,206,57.8,2,88,8.67,89,0.1,24124.16917,37697,0.5,0.5,0.864,15.9
Republic of Korea,2015,Developing,82.3,64,1,,0,98,7,31.7,2,98,,98,0.1,,,1.5,1,,
Republic of Korea,2014,Developing,82,66,1,0.01,0,99,442,31.2,2,99,7.37,99,0.1,,,1.5,1,,
Republic of Korea,2013,Developing,81.7,68,1,9.33,0,99,107,3.8,2,99,7.2,99,0.1,,,1.5,1,,
Republic of Korea,2012,Developing,81.2,69,1,9.56,0,99,2,3.4,2,99,7.1,99,0.1,,,1.5,1,,
Republic of Korea,2011,Developing,81.1,72,2,9.34,0,99,42,3,2,98,6.83,99,0.1,,,1.5,1,,
Republic of Korea,2010,Developing,87,74,2,9.23,0,94,114,29.5,2,95,6.79,94,0.1,,,1.5,1,,
Republic of Korea,2009,Developing,86,75,2,8.97,0,94,17,29.1,2,95,6.66,94,0.1,,,1.5,1,,
Republic of Korea,2008,Developing,83,75,2,9.31,0,94,2,28.6,2,92,6.16,94,0.1,,,1.5,1,,
Republic of Korea,2007,Developing,79.8,77,2,9.05,0,91,194,28.2,2,91,5.99,91,0.1,,,1.5,1,,
Republic of Korea,2006,Developing,79.4,79,2,8.83,0,99,28,27.7,2,98,5.76,98,0.1,,,1.5,1,,
Republic of Korea,2005,Developing,78.7,84,2,9.03,0,99,7,27.2,3,96,5.33,96,0.1,,,1.6,1,,
Republic of Korea,2004,Developing,78.2,89,3,9.18,0,92,11,26.7,3,9,4.96,88,0.1,,,1.6,1,,
Republic of Korea,2003,Developing,77.6,95,3,9.66,0,91,33,26.2,3,94,4.93,97,0.1,,,1.6,1,,
Republic of Korea,2002,Developing,77.1,99,3,9.55,0,92,62,25.7,4,99,4.61,97,0.1,,,1.6,1.1,,
Republic of Korea,2001,Developing,76.7,17,3,11.45,0,89,23060,25.2,4,99,4.76,97,0.1,,,1.6,1.1,,
Republic of Korea,2000,Developing,76,116,4,10.33,0,93,32647,24.7,4,99,4.23,97,0.1,,,1.6,1.1,,
Brazil,2015,Developing,75,142,42,,0,96,214,56.1,47,98,,96,0.1,8757.2622,2596218,2.7,2.6,0.754,15.2
Brazil,2014,Developing,74.8,144,44,7.32,83.16465362,96,876,55.3,49,96,8.32,93,0.1,1226.61731,24213133,2.7,2.7,0.747,15.2
Brazil,2013,Developing,74.7,146,46,7.24,916.270845,96,220,54.5,52,96,8.48,97,0.1,12216.9446,2248632,2.8,2.7,0.734,14.2
Brazil,2012,Developing,74.5,148,49,7.55,843.1946259,96,2,53.6,54,96,8.26,95,0.1,12291.46685,256983,2.8,2.8,0.73,14.2
Brazil,2011,Developing,74.1,152,51,7.58,1084.999766,98,43,52.8,57,98,8.9,99,0.1,13167.47289,198686688,2.9,2.8,0.724,14
Brazil,2010,Developing,73.8,154,54,7.52,1111.191325,96,68,52,61,99,8.27,99,0.1,11224.1548,196796269,2.9,2.9,0.716,13.8
Brazil,2009,Developing,73.6,157,57,7.33,564.5233902,99,0,51.1,64,99,8.65,99,0.1,8553.3847,194895996,3,2.9,0.714,13.8
Brazil,2008,Developing,73.4,158,61,7.21,526.3780636,96,0,5.3,68,99,8.24,99,0.1,8787.61375,19297929,3,3,0.704,13.3
Brazil,2007,Developing,73.3,159,65,7.19,394.9321299,99,0,49.4,73,99,8.28,99,0.1,7313.557962,19126637,3.1,3,0.7,13.5
Brazil,2006,Developing,73,161,70,7.1,30.30374691,99,57,48.6,79,99,8.36,99,0.1,586.145975,18912412,3.1,3.1,0.698,13.8
Brazil,2005,Developing,72.7,163,75,6.97,23.76370075,98,6,47.8,85,99,8.27,99,0.1,477.182746,186917361,3.2,3.1,0.694,13.8
Brazil,2004,Developing,72,17,81,6.85,186.6090485,96,0,46.9,93,99,7.7,99,0.1,3623.47667,184738458,3.2,3.2,0.695,14
Brazil,2003,Developing,71.8,172,88,6.95,15.85781237,97,2,46.1,100,99,6.94,99,0.1,359.587582,182482149,3.3,3.3,0.699,14.8
Brazil,2002,Developing,71.4,176,95,7,140.9824766,92,1,45.3,109,99,7.13,99,0.1,2819.649531,1815121,3.3,3.3,0.692,14.6
Brazil,2001,Developing,71,179,103,7.13,149.4802091,91,1,44.5,118,99,7.19,98,0.1,3146.95177,1777567,3.4,3.4,0.685,14.3
Brazil,2000,Developing,75,183,111,7.26,179.4777293,94,36,43.7,127,99,7.3,98,0.1,3739.11936,175287587,3.4,3.4,0.677,14.1
Russian Federation,2015,Developing,75,222,13,,0,97,843,6.5,15,97,,97,0.1,9329.298351,1449687,2.3,2.3,0.805,15
Russian Federation,2014,Developing,73,225,13,10.12,1340.553699,97,4711,59.9,15,97,7.7,97,0.1,14125.961,143819666,2.3,2.3,0.803,14.9
Russian Federation,2013,Developing,70,229,14,10.58,1529.497771,97,2339,59.3,16,98,7.9,97,0.2,15543.67653,14356911,2.3,2.3,0.799,14.6
Russian Federation,2012,Developing,69.6,237,14,10.99,178.8225911,97,2123,58.7,16,98,6.88,97,0.3,15154.45687,14321676,2.3,2.4,0.792,14.3
Russian Federation,2011,Developing,69.4,242,14,11.04,184.764931,97,629,58.1,17,97,6.61,97,0.3,14212.687,14296868,2.3,2.4,0.785,14
Russian Federation,2010,Developing,68.4,256,15,11.05,162.8088054,97,129,57.5,17,98,6.83,97,0.2,1674.98771,142849449,2.3,2.5,0.773,13.7
Russian Federation,2009,Developing,68.2,261,15,11.21,137.0063357,98,101,57,18,98,7.44,98,0.3,8562.89598,142785342,2.3,2.5,0.776,14
Russian Federation,2008,Developing,67.5,278,16,12.04,161.7301654,98,27,56.6,18,98,6.22,98,0.3,11635.2637,14274235,2.3,2.5,0.769,13.9
Russian Federation,2007,Developing,67.3,282,16,12.19,11.02617159,98,173,56.1,19,98,5.38,98,0.3,911.25385,1428588,2.4,2.6,0.761,13.8
Russian Federation,2006,Developing,66.4,3,17,11.79,12.25184084,98,1147,55.7,20,98,5.3,98,0.3,692.194398,14349528,2.4,2.7,0.754,13.8
Russian Federation,2005,Developing,65,327,18,11.57,625.5081805,97,454,55.3,20,98,5.21,98,0.3,5323.473877,143518523,2.4,2.7,0.748,13.7
Russian Federation,2004,Developing,64.9,321,19,11.5,46.51559476,96,2444,55,21,98,5.19,97,0.3,412.372294,1446754,2.5,2.8,0.741,13.6
Russian Federation,2003,Developing,64.6,322,20,11.32,333.2148711,94,3291,54.7,22,97,5.61,96,0.4,2975.132778,144648257,2.6,2.8,0.733,13.2
Russian Federation,2002,Developing,64.8,313,20,10.87,266.5416917,81,580,54.5,24,97,5.99,97,0.3,2375.5944,1453646,2.7,2.9,0.727,12.8
