"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Armenia","ARM","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2173850348.63405","2067532467.53247","1063520722.19943","1200012843.51417","1311138636.33807","1507838735.18942","1641698946.23708","1736697182.63351","1952541820.81269","1900438465.96643","1970535935.80291","2182070540.84243","2458706347.955","2899936467.50868","3724967487.29965","5106476347.91383","6686478486.4643","9703722526.74893","12353321001.708","9006718249.36627","9718566137.71057","10502184909.0834","11042356185.4721","11804012824.1465","12131728948.9464","10981745196.8255","10791285342.4912","11934826619.5224","12676547765.0682","13900535495.7309","12446598216.9565",
"American Samoa","ASM","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","75600000","77000000","67700000","68500000","79200000","84700000","105600000","127200000","139300000","151100000","166000000","178200000","189700000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","77296753.7037037","87479341.4814815","107279978.888889","130231026.666667","145841734.444444","160669278.888889","181144092.962963","207972846.296296","238223924.814815","254406807.407407","297215602.592593","367011801.851852","393313307.037037","414144444.444444","449507407.407407","469614814.814815","512237037.037037","562870370.37037","550422222.222222","607511111.111111","658462962.962963","706822222.222222","742754814.814815","781851481.481481","775693333.333333","772934777.777778","817700000","874644296.296296","980922740.740741","1110919629.62963","1260091851.85185","1308986333.33333","1177509333.33333","1120979666.66667","1102571925.92593","1160321814.81481","1142788111.11111","1188978482.33391","1252478572.43216","1339482995.73854","1389228019.95239","1527400663.26139","1555907463.40076","1390371092.38578",
"Australia","AUS","GNI (current US$)","NY.GNP.MKTP.CD","18601187143.0171","19622578116.2504","19941762795.3858","21435771082.988","23749580020.159","26001791913.9881","27199014447.3065","30170231828.8722","32349647216.9336","36080188150.9688","40788442154.7766","44637697390.5253","51727803738.3178","63757847533.6323","88504053058.2167","97364468114.1609","104903567376.781","109404679972.471","116886983983.758","133036464841.531","148170473537.604","176016486706.142","190045238883.372","175649976602.714","190887520376.743","177695021860.858","178787073307.219","185600847008.999","231230355064.028","291007246966.859","299796844940.362","312075975198.179","312156425440.283","303041736930.86","314915254237.288","354537422037.422","386119119878.604","419944435748.943","386307400122.092","376456949492.418","403232431074.546","367755178705.592","383921096693.177","453337798485.731","595007824726.135","667646218613.742","716994609164.421","815048284525.398","1010904207699.19","895265792961.272","1101613670395.49","1340587597357.78","1499127655186.64","1536979583461.58","1429082897273.48","1324063566020.47","1180243849177.46","1293016064559.92","1387449034958.53","1352020454870.55","1303127765115.97",
"Austria","AUT","GNI (current US$)","NY.GNP.MKTP.CD","6547435003.94828","7261554769.09295","7702864742.40645","8316686909.51263","9107032740.77774","9925462658.21539","10814480797.1072","11489682471.2034","12325481697.6437","13471334741.5813","15443633765.5464","17953394646.9876","22152287040.8953","29621908075.058","35366590842.1673","40232688630.7972","43082843445.578","51650574473.3994","62141791907.5145","74071758106.0216","82147201659.2214","70953553654.7434","71298486730.6606","72301811705.2245","68089737294.5465","69509477919.6595","98916000000","124038666739.225","133707123593.001","133607136765.471","167219692605.591","173663627578.079","195560524668.169","190907108718.798","203849993976.629","240111095946.499","237117494151.287","211805502311.422","216933192530.013","213744619646.282","195085959093.422","194639373601.79","212139375117.636","261037810383.747","300489570399.801","315305310284.79","336783339606.072","388299616753.353","433883404130.658","399998888580.161","395170908981.876","432573889519.503","409838651404.764","431228759906.245","442578740324.175","378058128962.087","395538833552.533","412304443648.549","450734470030.154","447294996188.235","",
"Azerbaijan","AZE","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1570195000","1192339808.9172","2411313809.90144","3164208531.90747","3952753355.91519","4433082579.4779","4536461165.04854","4937333817.61287","5340528830.66681","5851180004.11438","6834725180.73516","7979771649.53699","11600042521.6839","18302272330.4231","27970807831.2551","43586308422.5901","40772407439.6616","49442000747.5704","61091863998.987","65416863543.7882","70036719821.5424","72662436950.1466","51046644056.2171","35395431534.7496","39106056123.6347","44653352058.8235","46113221294.1176","42150898470.5882",
"Burundi","BDI","GNI (current US$)","NY.GNP.MKTP.CD","193892004","200819998","211212002","230278000","257986008","157479111.111111","156048000","166971428.571429","169680000","178171428.571429","235283428.571429","243766857.142857","235406857.142857","295982555.669407","336273015.873016","412341587.301587","437150144.927536","537186666.666667","595765555.555556","772336666.666667","921813333.333333","966146666.666667","1005555555.55556","1073595481.44164","974118285.857489","1131604109.70254","1181080844.35491","1103051149.23924","1059467929.76958","1096300427.94028","1117211760.24058","1156153553.73995","1069379682.96184","928818579.07743","913654989.848138","988018268.88428","855125492.320396","960396267.915425","885470806.166974","796772713.286962","884786065.883137","864477157.825014","811709078.127599","766758030.795662","887956197.145997","1099412999.83025","1264575020.63803","1350299364.97898","1607535901.77136","1764455092.55887","2021328757.97792","2218375352.21325","2326791619.96335","2453425818.10607","2698994625.06945","3102740741.29059","2958794934.60755","3167492069.36737","3043038796.49569","3019513461.38506","3274862978.00159",
"Belgium","BEL","GNI (current US$)","NY.GNP.MKTP.CD","11807650531.4178","12526323162.3247","13375866329.3162","14357591976.3048","16056233835.587","17501627559.3633","18795959368.4511","20151866620.6696","21553812529.3565","23898239777.8942","27089802339.6531","30210254913.2473","37705546695.9949","48300143862.5543","56680050745.6504","66428486344.1922","71947319749.2163","83582818232.9769","102036695273.473","116682691249.312","126898081114.637","104870916992.612","91784983224.4393","86845298619.3294","83204003071.7677","86372091854.0662","120264512371.32","150162393300.918","163105286889.742","164539499385.749","205980494929.986","211977481393.975","236359025094.103","228457699393.657","250882987701.953","294350437876.3","285695114006.515","258857352277.853","264807068237.386","264172277860.644","242291966095.449","240965995525.727","261601919819.311","323441873589.165","373654333250.559","390387887078.722","413784468699.034","476866548042.705","527755090083.492","490297165879.411","488333574084.956","523481684620.602","507695038585.313","534493384270.569","545897069014.275","468690289764.047","480302796401.782","506053307485.998","548769805384.96","539738514469.019","",
"Benin","BEN","GNI (current US$)","NY.GNP.MKTP.CD","225482256.374618","234942178.93575","235707398.233325","253176456.759629","269046284.249259","289108711.752874","302825280.936379","305821992.521166","324923111.412895","328248201.458221","331127773.89255","331970322.836033","408231890.87227","504376035.716401","556954764.489435","675570202.26034","698408244.385343","749849740.536153","929143313.336811","1187431250.04701","1402351617.0042","1287919998.96957","1261778450.07841","1082048347.00551","1021533916.74736","1024412704.80765","1310102040.42149","1533812033.87541","1595446185.67445","1464137967.57012","1921032589.5966","1955598277.10701","1634867229.43653","2234725312.9474","1562942658.78854","2125371478.40225","2315095219.60268","2238481586.12805","2441702858.09637","3665050651.65724","3507693634.21253","3651633565.49492","4166070199.63601","5311078927.05811","6153203071.47072","6549889474.76416","7003871605.13806","8120524839.68834","9776380257.70671","9705498255.89745","9481809629.16362","10677799712.0389","11074623453.1493","12448828492.8112","13223293316.2713","11295642530.0579","11718306954.0469","12561417748.3971","14105968057.8303","14248201879.9835","15488837234.83",
"Burkina Faso","BFA","GNI (current US$)","NY.GNP.MKTP.CD","334894683.458193","353437393.200117","388060809.61121","397465283.956502","413758165.215943","419289066.105609","432185731.834789","449034466.134067","458847277.903514","476700139.944284","458404330.125096","481906375.553147","577291786.296422","674535298.704468","748879357.985116","927901103.013398","967025139.516343","1111036655.04313","1464483145.79854","1739271805.02591","1924639176.2385","1766034537.0338","1744187907.23124","1590193730.74481","1454929871.31219","1546793106.48774","2030903473.20101","2361034550.86668","2602940566.70478","2603687662.6721","3093954852.0411","3125829319.6657","3344716325.55296","3180859743.83623","1881026818.03666","2369479998.13282","2593450635.16465","2445476074.98354","2802105646.59689","3393482747.50505","2964619404.17455","3178291895.10016","3588060318.58699","4686123998.48663","5406280264.27073","6082308114.38945","6528831919.79872","7603256785.93045","9414698383.8565","9333204306.50313","9807542028.87947","11592645414.5434","12243495998.7762","13080708252.0415","13337501703.1647","11293125626.5734","12261728542.5585","13577335799.2769","15376600312.1813","15326472487.9717","16664828374.0291",
"Bangladesh","BGD","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","8108053514.97237","12522859678.6342","19439919254.1685","10105296949.4949","9608855565.61086","13238224497.3545","15535719093.2983","18156941569.7674","20590758873.929","18847155688.6228","18122979797.9798","19452920000","22655346153.8462","22202166666.6667","24866935483.871","27184294207.0866","29418568376.6291","32234055489.7889","31618548375.3501","32478635867.374","34069217830.6878","34824471356.6085","39096763694.0298","47649633251.8337","49613348946.1358","51415660792.9515","52841410149.7504","55101749155.2375","55629781319.4959","56908044576.0056","62584110535.4059","67925445897.7408","72520666666.6667","75870230199.5235","84719837822.1836","98684113103.0462","110602682464.565","124617096900.553","138823234444.331","144641656947.692","162054146628.501","184407434331.997","207742686491.099","234168452310.22","260441066628.246","286535935296.739","316899147223.538","338933058607.445",
"Bulgaria","BGR","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","19525307692.3077","19672285714.2857","19187533333.3333","16484500000","17556333333.3333","17092578947.3684","20117823529.4118","27786846153.8462","22134941176.4706","21351666666.6667","18995909090.9091","9832580645.16129","10180773195.8763","10637028985.5072","9504964944.64945","18551491071.4286","11898154581.2254","10959092395.5051","14747201715.5192","13442625945.4753","12922427259.4546","14208398132.4667","16746346413.0958","21488783574.7677","26463400799.9492","29952788132.9013","33528741743.0899","41158999020.2939","51846800688.0562","50357249591.2419","49327498984.7029","55581822964.8063","53311098554.5335","54387804695.9826","56410350698.684","49066940603.0379","52129665723.9819","57538881590.3198","64150353047.6765","67445642243.8466","67448118627.2796",
"Bahrain","BHR","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","2864420270.62881","3440957446.80851","3634308510.6383","3746276595.74468","3793882978.7234","3281648936.17021","2655319148.93617","2995744414.89362","3271276595.74468","3503191489.3617","4451329787.23404","4807446808.51064","4783244680.85106","5006382978.7234","5325000265.95745","5790573404.25532","6076647606.38298","6113085372.34043","6021789095.74468","6350622872.34043","8839275265.95745","8654625797.87234","9068566223.40425","10581836436.1702","12575387234.0426","15556372074.4681","18119833244.6809","21431313829.7872","24787226861.7021","20538353191.4894","23340257978.7234","25012234042.5532","29741912500","31343603989.3617","31755112765.9574","29314738297.8723","30439494680.8511","33484122340.4255","35576436170.2128","36313430851.0638","",
"Bahamas, The","BHS","GNI (current US$)","NY.GNP.MKTP.CD","149607647.058824","167450784.313726","187058529.411765","209509509.803922","234999607.843137","264705882.352941","299509803.921569","343823529.411765","391960784.313725","465392156.862745","509458782.43513","542590600","559130400","634848200","662174500","819788700","566500000","629400000","704600000","1006200100","1200800000","1274600000","1446700000","1594300000","1876000000","2140099900","2288900000","2530699900","2651000000","2930400000","2993200000","2932160000","3026400000","2963600000","3121400000","3882158500","4421275600","6179760000","6635720000","7557070000","7936270000","8118930000","8696814900","8717670000","8913970000","9654135300","9949250000","10386740000","10466660000","9841640000","9888260000","9882330000","10609680000","10533630000","10673455700","11308170400","11488582400","12130014600","12339847200","13114074100","10816902726.9444",
"Bosnia and Herzegovina","BIH","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1090802469.1358","1624572953.73665","2564045321.63743","3443816504.23851","4925763027.78883","5413706644.88017","6096206688.64814","6281404511.347","7159190134.74495","8903153144.83554","11100740126.9841","11690938513.3846","13256503752.1647","16247627011.8964","19819000898.7418","18292151431.2096","17456458996.4109","18794698983.5809","17361522795.9532","18420849908.3565","18710290326.957","16322117380.2098","16936519427.6342","17928568053.4747","20063414001.207","20190230667.9641","19854234711.7065",
"Belarus","BLR","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21650000000","","","","17688000000","13423888888.8889","14725538461.5385","14024192307.6923","15171217391.3043","12110819277.1084","12681807531.3808","12305920143.8849","14543051367.9509","17841993174.0614","23143451851.8519","30159871402.0427","36854632634.0326","44904886300.0932","60280793539.3258","50064563909.7744","56107674051.6952","60375790753.7688","64182720882.8116","72802868130.6306","76354715375.5869","53957136255.1802","45508099165.6614","52644634114.7855","57886015606.596","62539904818.8163","57647179086.7355",
"Belize","BLZ","GNI (current US$)","NY.GNP.MKTP.CD","27930631.3873723","29755424.8915022","31701455.9708806","33587778.2444351","36023939.5212096","39860139.8601399","44195804.1958042","47172413.7931034","43353293.4131737","45628742.5149701","51497005.988024","56951219.5121951","63125000","74233128.8343558","92397660.8187135","105801104.972376","88520179.3721973","112050000","129500000","146500000","195988222.429283","194189854.656347","177306326.985709","186603185.955321","206681949.019381","202743742.664706","225438320.535567","274982558.5859","313893360.27245","359433890.704745","403986445.492176","435320750","503609700.714435","541655282.299335","555652936.370645","597851200.150545","615256255.32063","631241449.944045","656987962.18537","692591603.17635","779173364.652775","801309227.467205","857716821.508255","894097765.245365","934642426.48391","988138630.0365","1085321176.50843","1112645244.64669","1186161398.58457","1226664645.60202","1238677832.63841","1363597903.23406","1402697506.07849","1460211253.00514","1529535060.96064","1626550991.46912","1678504087.78561","1733329676.71857","1734299786.96407","1824218540.6134","1605121125.71739",
"Bermuda","BMU","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6780700000","6474269000","6661617000","6764352000","6657829000","6893729000","7095783000","7435279000","7459240000","7587978000","",
"Bolivia","BOL","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","2700484007.996","3160336281.85907","3644320889.55522","4239043308.35371","4263816802.61011","5510556933.11582","5176790478.47958","5060640961.87886","5754601148.23129","5004377399.65434","3649839150.74542","4045923622.1622","4332815374.88371","4456878547.35084","4618982620.20708","5096273725.07401","5446192513.78028","5528777355.74781","5798744226.81528","6508618711.33054","7188766149.05608","7729174999.5242","8335344621.69471","8088875593.5586","8172380981.6447","7930377408.46691","7700785216.17852","7780518761.75057","8388731804.43548","9172726311.35245","11054624631.7839","12630742727.2264","16137947294.2542","16666184074.0741","18760697222.341","22977277526.3082","25455219536.903","28751567785.8177","31298228306.8017","31873100506.5123","33320230246.0203","36398995788.712","39311992850.9407","40056391416.7353","36171181928.3489",
"Brazil","BRA","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","25823978009.9173","29559163247.6664","33065704447.8652","36783720975.7678","41728566935.8317","48684157318.5706","58075347258.6067","78380807935.1819","104325590448.443","122016649141.279","150357935666.65","173253413561.887","196080790936.193","218945212519.056","227299903221.934","252659071917.96","267229261490.029","191446471082.959","197144720543.593","211063860366.741","256173867061.639","282955492984.36","317177371865.753","448509000000","449671800000","589350000000","393042375000","427140503105.59","537119760675.739","757859058515.855","827516902795.742","855019274582.56","825536162860.836","568078572215.793","636545739163.706","541210449579.117","490921176362.21","540601974260.643","649542563658.12","865855861197.831","1079922933664.32","1367409102922.29","1654242312302.32","1630132837501.25","2140639114483.86","2548973132352.94","2403681256873.69","2438446843189.09","2410227796260.09","1768302238329.98","1757603662733.08","2024930461457.34","1863643739320.33","1827512816466.85","1417068693062.22",
"Barbados","BRB","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","1520310247.10386","1670959081.19127","1777556804.05708","1980510117.83424","1966737930.69159","1981255904.1416","1928700000","2023666285.487","2105901655.6456","2158504449.8583","2293690647.83971","2437577686.07368","2749316362.55158","2866056779.19753","2964350000","2944900000","2987550000","3075550000","3327650000","3644500000","3961099500","4486183000","4539047950","4275448350","4418050350","4357353600","4437596600","4482400550","4499058650","4502057650","4608564150","4754253200","4856103100","5030074650","4184197640.16837",
"Brunei Darussalam","BRN","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2985467979.28524","3520551724.13793","3701667052.55846","4183548189.07305","4105706151.75145","4087337959.93191","4734020036.68689","5115602836.87943","5197332974.13793","4051147227.53346","4600000000","6001153306.2645","5601090584.36122","5843329107.56171","6557333084.60567","7872333215.00414","9531402847.87311","11470703002.0769","12310094220.6887","14447599068.5859","10784466313.7632","13606894022.7356","18026870180.4595","18590749039.6927","17893222506.3939","17082872928.1768","13580987708.197","12235956707.4495","12848520530.0891","13651197271.8511","13830513707.6675","",
"Bhutan","BTN","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","103272118.291635","108007254.242773","107370762.805498","111528776.223057","126322646.591021","128696728.738404","155354458.447213","211428268.98775","245991005.231459","251650653.654508","269034540.371779","218719291.996482","211897862.654321","201914785.175467","238775205.610456","253224591.42769","268250646.344905","320839856.788763","307146437.227339","327671031.119368","423968319.982199","461207368.086459","512806665.295207","590246764.705882","666547378.640777","785369263.038549","871434235.327874","1152351468.61434","1193789868.79729","1183441317.3764","1460010353.01733","1663196387.4396","1639170542.24398","1632780314.27801","1772100521.87876","1860822550.85196","1973485495.26529","2237541686.62932","2226677925.70497","2300999285.71733","2194394782.26136",
"Botswana","BWA","GNI (current US$)","NY.GNP.MKTP.CD","34206224.5899341","36949069.539667","39977709.2387495","42813784.4261149","46753798.9683535","51444925.310624","56973500.6973501","62273361.2273361","70362622.0362622","82509399.8050411","100671970.965941","130929112.857945","164459109.730849","244412476.588388","309413245.033113","355172413.793103","372010119.595216","451603325.415677","590376720.598889","819877300.613497","1014089037.57077","1111389984.46277","1043653491.30815","1132600966.35974","1126732902.03327","1018317039.84022","1282103134.47927","1729167907.55852","2468008312.37012","2817236587.42369","3684735286.21338","4005663830.6292","4258899369.57861","4453715364.61558","4034973478.35804","4698181877.20944","4594669634.79935","4875398624.95891","4910030431.3874","5221996626.5894","5436161217.60947","5352478942.68301","4740668162.71058","6795865108.38603","7997879093.95044","9084360896.67168","9364081179.35612","10200889864.4686","10196257012.6998","10029116811.7846","12147305773.0805","15016122766.225","14164609541.2604","14251172463.0606","15779133755.1943","13966687708.5596","14355849145.0483","16039012263.9504","17081062176.4706","16968862019.9146","14523517159.7425",
"Central African Republic","CAF","GNI (current US$)","NY.GNP.MKTP.CD","111747736.394406","122726888.311633","124074593.318991","128970996.227191","141616935.99731","150166787.112918","157522973.122586","163414003.769905","188467446.287779","186939193.862455","187306620.29478","198941119.239967","228251320.490295","268083540.162556","278993393.149365","376717384.254518","450459739.569492","506691637.526422","611778518.97513","695364907.936007","799613350.271394","698104783.582323","741049292.420748","647990922.832265","628156958.343927","857549797.557333","1109865058.60859","1176881510.93744","1237401965.49786","1208296772.84259","1418273437.84433","1361256586.77615","1396427786.95827","1260063939.58807","830378020.935341","1094392733.30336","986712831.178194","922003071.944495","948607846.60713","991334220.888093","901436083.897736","924010113.111385","982309385.151714","1136967017.22281","1256265520.41626","1327140867.66574","1449089088.89268","1686871786.23681","1962359934.51157","2053265655.31444","2152234865.48894","2447711017.81006","2521348064.53926","1706709069.39636","1914516900.92123","1716880216.11148","1847781766.26556","2177935589.13683","2386745436.49642","2386023467.98619","2456787986.5349",
"Canada","CAN","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","86905583309.4076","98159003763.1214","111973127588.645","129947894210.579","158580766871.166","171802537357.452","203585192697.769","207884725905.031","213974919786.096","237297467987.024","267380993841.943","296987238301.777","303780497689.876","331848425835.768","345679098139.14","354994507506.408","366251889168.766","419782051282.051","492889412529.455","547709459459.459","574627185464.518","592228332024.09","573080168776.371","559372141694.442","559172524897.481","585086709414.165","609656032269.894","634690885454.283","612674755645.433","655584572928.586","725237357753.687","718179235537.19","741406996750.143","873515809007.209","1004566487317.45","1149135996038.95","1298296897038.08","1447200446885.76","1530173383317.71","1350956171813.49","1585379875651.19","1759453773319.65","1795919869603.49","1818471075757.13","1776572160702.32","1532663548013.94","1509327936731.45","1628291572163.23","1692778505552.34","1719248124234.35","1623832278832.82",
